time[UT]  C01 C02 C03 C04 C05 C06 C07 C08 C09 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 
18:50:52   62  62  50  65  40  42  52  42  56  67  58  41  44  39  38  40  45  68  60  66  58  45  32  41  42  62  55  53  64 
18:51:00   47  51  79  43  68  45  57  47  55  40  79  42  63  52  49  73  45  48  53  76  44  60  46  63  49  50  53  60  68 
18:51:08   73  52  52  60  53  46  54  40  53  47  71  53  53  64  53  42  55  47  44  57  52  54  68  68  53  60  62  83  64 
18:51:16   44  50  36  52  51  61  65  58  62  53  74  47  41  79  62  46  66  63  62  62  57  54  49  70  47  51  72  70  63 
18:51:24   62  53  44  55  63  45  44  68  36  53  58  40  47  58  62  45  50  59  54  42  52  58  66  63  47  52  40  64  65 
18:51:32   39  53  53  51  74  40  49  52  62  53  53  47  40  46  45  62  51  62  42  49  66  38  58  43  68  49  52  73  66 
18:51:40   53  58  59  47  40  57  47  43  47  46  40  52  44  58  62  47  40  44  58  42  53  44  40  53  55  50  61  73  66 
18:51:48   40  38  47  32  53  48  51  62  40  40  44  62  55  40  47  60  53  62  57  41  47  58  58  45  42  61  70  49  65 
18:51:56   53  39  50  44  46  42  53  70  34  50  54  43  42  70  42  63  62  44  70  52  40  47  56  41  66  63  49  65  78 
18:52:04   58  52  53  71  54  44  53  40  40  43  51  44  68  47  48  51  51  51  49  62  62  45  51  45  53  53  61  62  81 
18:52:12   52  34  41  42  66  68  74  51  62  43  59  53  50  47  40  46  53  42  46  52  72  62  53  54  45  49  64  57  66 
18:52:20   66  58  45  53  42  50  43  54  58  51  52  44  51  62  37  53  53  61  41  70  52  68  59  46  54  53  62  52  71 
18:52:28   80  74  48  51  51  70  62  43  58  40  50  44  42  53  40  52  53  62  43  42  50  43  62  49  53  61  64  56  60 
18:52:36   80  45  53  42  62  32  70  53  44  47  40  53  61  52  62  47  58  54  47  40  53  58  40  62  53  52  58  60  79 
18:52:44   52  63  42  58  51  53  40  44  53  41  37  51  49  62  39  68  44  83  42  30  46  53  51  41  50  66  68  62  83 
18:52:52   70  70  84  75  62  37  40  41  45  39  51  58  63  62  60  43  46  62  43  51  50  44  40  43  53  53  60  62  74 
18:53:00   40  66  57  53  43  57  45  30  40  58  40  47  53  52  60  43  41  42  58  53  58  53  53  53  52  55  66  74  71 
18:53:08   53  57  47  53  56  40  50  40  55  51  62  38  51  44  52  48  42  42  42  57  62  62  53  50  49  58  62  58  67 
18:53:16   44  47  45  53  51  65  47  37  41  42  51  46  40  46  53  58  57  52  62  57  70  59  59  47  56  58  79  70  67 
18:53:24   74  52  53  44  45  78  52  52  51  64  53  33  42  46  58  55  68  56  59  54  48  76  56  51  62  54  72  77  73 
18:53:32   40  44  32  60  53  43  42  60  53  40  51  50  55  54  53  54  53  53  65  48  57  53  57  58  62  62  74  85  79 
18:53:40   43  51  63  44  37  45  53  72  49  53  51  46  58  65 103  76  51  55  57  51  65  53  50  49  74  74  67  78  79 
18:53:48   68  44  45  44  42  40  52  42  50  49  42  71  53  55 113  65  51  65  50  65  58  51  58  53  75  68  67  82  73 
18:53:56   51  40  40  51  40  68  42  50  47  62  54  61  50  74  55  44  60  55  60  52  51  50  59  65  63  71  64  78  72 
18:54:04   43  53  40  49  63  53  63  53  60  52  52  70  53  60  63  57  51  54  55  41  56  53  51  53  53  61  58  74  69 
18:54:12   53  53  51  44  44  54  62  50  51  61  41  42  54  40  51  68  62  53  50  52  52  50  56  58  68  53  65  57  79 
18:54:20   52  57  43  40  41  30  58  31  45  41  53  53  57  51  50  41  50  58  48  53  66  65  63  44  81  62  53  53  65 
18:54:28   42  76  63  52  51  38  45  44  39  45  42  40  51  53  57  51  62  52  62  52  65  63  71  75  68  63  71  52  73 
18:54:36   46  62  33  32  53  47  37  42  41  37  49  57  42  52  55  46  58  65  57  65  58  53  70  86  83  58  55  60  63 
18:54:44   46  48  44  45  40  30  46  26  47  45  51  54  47  53  45  48  63  50  49  62  69  53  62  91  74  55  68  68  70 
18:54:52   53  53  54  42  37  45  42  55  51  38  51  50  33  60  58  40  43  53  42  47  45  59  73  56  60  70  70  65  56 
18:55:00   68  45  36  42  51  34  43  32  42  43  49  53  52  63  45  58  62  62  64  55  79  54  66  68  52  61  65  72  72 
18:55:08   53  42  40  44  51  68  46  47  40  38  42  51  30  38  50  45  47  57  65  57  58  59  60  66  55  56  63  61  68 
18:55:16   40  34  40  47  53  62  47  53  44  61  42  51  33  52  37  48  60  64  57  59  63  61  63  65  61  68  64  53  53 
18:55:24   52  32  44  52  36  45  53  73  62  38  28  52  53  40  40  62  48  46  61  59  59  73  61  73  57  53  47  45  62 
18:55:32   67  57  40  45  40  49  38  41  37  50  44  60  42  53  58  51  53  51  68  77  65  78  63  57  57  55  46  56  44 
18:55:40   51  38  44  30  42  51  47  30  52  44  51  54  51  45  46  55  72  72  60  61  67  64  61  57  55  67  50  51  53 
18:55:48   62  40  51  34  51  39  58  32  50  62  47  53  40  68  53  62  56  65  63  57  65  62  57  51  60  59  58  50  52 
18:55:56   43  53  40  38  53  40  65  62  53  37  63  47  49  62  65  80  55  73  61  44  63  61  48  55  70  47  57  52  50 
18:56:04   62  48  53  50  39  31  76  32  42  47  53  52  42  52  52  60  64  78  68  59  47  44  53  42  52  54  44  65  51 
18:56:12   67  38  53  46  45  42  52  35  42  53  44  46  53  61  55  71  47  65  64  52  62  57  45  60  54  51  57  50  52 
18:56:20   51  45  57  45  23  53  62  47  63  51  45  50  42  58  42  71  57  58  60  59  59  44  60  45  47  47  41  43  53 
18:56:28   59  31  49  53  53  50  41  44  40  44  37  43  57  56  60  58  55  53  46  53  63  42  58  53  62  51  53  53  49 
18:56:36   39  41  58  51  41  50  63  47  53  40  62  58  49  51  52  58  58  48  51  47  53  53  40  52  47  54  63  55  38 
18:56:44   68  39  25  32  48  38  38  62  53  67  29  44  53  40  52  48  57  44  51  53  67  49  51  57  43  43  53  40  34 
18:56:52   41  44  53  53  65  40  53  41  38  51  51  42  37  42  41  35  40  39  38  43  58  42  50  47  51  47  51  50  53 
18:57:00   11  40  40  38  55  39  44  38  43  51  74  53  37  40  51  54  41  42  52  39  51  41  53  56  33  63  45  59  47 
18:57:08   30  50  30  51  38  51  36  44  68  41  42  44  53  55  53  51  50  53  53  59  47  49  44  64  49  42  51  37  44 
18:57:16   42  50  40  29  20  40  44  37  67  39  39  42  43  39  53  42  43  52  44  42  52  42  57  51  59  42  45  47  37 
18:57:24   58  26  54  36  42  42  63  36  38  58  68  42  45  44  53  51  51  48  53  63  42  53  40  54  43  72  40  62  48 
18:57:32   52  71  57  57  24  51  53  53  63  48  44  53  42  50  42  45  49  51  67  40  50  53  45  48  56  68  41  40  33 
18:57:40   45  45  51  38  58  44  45  38  50  57  50  37  45  42  53  57  43  44  63  44  42  49  42  51  38  63  35  42  30 
18:57:48   45  51  30  36  36  50  60  42  46  74  42  42  43  30  58  57  64  57  53  72  63  51  45  51  53  46  40  47  52 
18:57:56   42  64  42  59  58  50  44  38  40  62  39  40  36  58  47  49  73  68  53  53  47  68  51  41  45  50  50  37  54 
18:58:04   53  47  62  50  49  40  41  47  50  50  37  36  31  51  50  50  50  52  58  43  51  47  51  46  50  43  51  42  40 
18:58:12   52  39  62  35  42  46  36  59  37  34  38  42  51  45  43  42  62  51  43  57  45  42  45  35  42  43  68  50  53 
18:58:20   56  55  42  40  41  38  54  51  47  42  30  44  51  76  33  45  37  63  44  45  63  68  42  47  53  44  43  40  36 
